,customerNo,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,order
50,10042,21005,10,6,55372.0,6,3.0,3.0,18.0,1,3.0,3.0,3.0,?,?,?,300,446,2,2,48,2,43,n
51,10043,21007,10,6,19099105.0,12,9.99,24.99,169.92,2,24.99,24.99,49.98,1,1,2,3000,474,202,4,38,1,54,n
52,10044,21008,10,6,553105.0,39,14.99,19.99,388.87,3,19.9,19.99,59.84,?,1,2,800,592,45,2,29,2,190,y
53,10045,21009,10,6,856626.0,21,21.99,74.95,909.31,1,39.99,39.99,39.99,?,1,2,1600,598,129,1,39,2,257,y
54,10046,21011,10,6,774403.0,30,6.99,17.99,446.71,5,16.99,17.99,87.95,1,1,2,2500,536,104,12,38,2,5,n
55,10047,21012,10,6,152014.0,2,579.0,579.0,1158.0,1,579.0,579.0,579.0,5,1,2,600,70,56,1,37,2,22,y
56,10048,21013,10,6,5139512.0,46,9.99,1499.99,16739.46,2,9.99,899.99,909.98,?,1,2,2900,491,67,11,45,2,251,y
57,10049,21015,10,6,407625.0,10,29.99,32.99,278.91,3,29.99,32.99,92.97,5,0,0,5000,472,3,2,39,2,30,y
58,1005,2057,9,5,1070145.0,72,1.0,5.0,279.84,10,1.0,5.0,37.96,5,1,2,7000,506,51,11,29,2,50,y
59,10050,21018,10,6,4096.15,2,22.99,22.99,45.98,2,22.99,22.99,45.98,5,1,2,5000,553,96,56,57,1,8,y
60,10051,21021,10,6,5072434.0,200,1.0,99.99,6689.82,0,?,?,?,1,1,2,10500,592,427,28,73,2,54,y
61,10052,21025,10,6,6728694.0,34,79.99,1299.99,24789.66,1,699.99,699.99,699.99,5,1,2,?,?,?,0,68,2,3,y
62,10053,21026,10,6,2079794.0,36,7.99,129.99,1092.86,1,69.99,69.99,69.99,5,1,2,?,?,?,0,43,2,11,y
63,10054,21028,10,6,322622.0,5,9.99,39.99,108.87,3,9.99,22.95,45.93,5,1,2,1000,554,84,13,37,2,47,y
64,10055,21030,10,6,1768021.0,10,9.99,59.95,323.62,4,9.99,59.95,105.84,?,1,2,600,512,82,1,62,1,38,y
65,10056,21033,10,6,2202906.0,25,3.0,12.99,174.4,4,3.0,7.0,16.0,?,1,2,1200,490,106,11,73,1,7,y
66,10057,21034,10,6,174105.0,2,139.99,139.99,279.98,1,139.99,139.99,139.99,5,1,2,300,434,0,0,31,2,25,y
67,10058,21035,10,6,2162954.0,3,3.99,39.99,76.97,3,3.99,39.99,76.97,1,1,2,8500,533,44,34,57,2,10,n
68,10059,21036,10,6,19438.0,2,12.99,12.99,25.98,2,12.99,12.99,25.98,?,?,?,1300,70,263,3,49,2,26,n
69,1006,2059,9,5,1468.38,15,9.99,39.99,384.85,2,24.99,39.99,64.98,?,?,?,2700,492,116,9,55,2,56,n
70,10060,21037,10,6,1606378.0,28,1.0,24.99,235.79,6,1.0,12.99,43.95,5,1,2,2500,521,50,18,31,2,15,y
71,10061,21040,10,6,2610624.0,31,3.99,39.99,435.32,7,3.99,39.99,163.18,5,1,2,600,565,160,12,49,2,130,y
72,10062,21041,10,6,443959.0,11,29.99,29.99,329.89,2,29.99,29.99,59.98,?,1,2,600,598,17,1,30,2,120,y
73,10063,21043,10,6,99694.0,3,59.95,59.95,179.85,1,59.95,59.95,59.95,2,1,2,600,575,139,0,37,1,72,n
74,10064,21044,10,6,100599.0,2,29.99,29.99,59.98,2,29.99,29.99,59.98,5,1,2,6000,476,286,11,58,1,11,y
75,10065,21046,10,6,553371.0,5,39.99,49.99,229.95,2,39.99,49.99,89.98,?,1,2,8500,522,127,13,31,2,46,y
76,10066,21049,10,6,307198.0,5,19.99,539.99,2039.95,1,539.99,539.99,539.99,?,1,2,4000,541,79,12,88,2,34,y
77,10067,21050,10,6,5101902.0,39,3.0,1695.0,11425.95,3,16.99,19.99,53.97,?,1,2,800,462,37,13,30,1,19,y
78,10068,21051,10,6,454.42,6,3.99,34.99,96.94,5,3.99,34.99,86.95,5,1,2,3600,518,306,9,57,1,15,y
79,10069,21053,10,6,526844.0,7,12.99,59.99,224.89,7,12.99,59.99,224.89,?,1,2,4000,582,96,1,56,2,64,y
80,1007,2060,9,5,3873.49,25,4.99,699.99,1019.87,3,14.99,29.99,69.97,?,1,2,800,574,106,6,34,2,33,y
81,10070,21055,10,6,237518.0,7,29.99,139.99,509.94,2,29.99,139.99,169.98,?,1,2,4000,557,76,6,59,2,148,y
82,10071,21056,10,6,313488.0,3,299.99,299.99,599.98,1,299.99,299.99,299.99,3,1,2,300,571,85,1,43,2,117,n
83,10072,21057,10,6,2237003.0,32,3.99,59.99,672.69,6,3.99,24.99,98.94,?,1,2,?,?,?,0,24,2,11,y
84,10073,21058,10,6,3443.8,15,12.99,799.99,2399.77,0,?,?,?,?,1,2,900,475,23,10,40,2,345,n
85,10074,21060,10,6,1378906.0,10,9.99,29.99,164.91,1,15.99,15.99,15.99,?,?,?,300,568,2,1,31,2,92,n
86,10075,21061,10,6,3241295.0,149,4.99,29.99,2090.13,19,7.99,29.99,263.28,?,1,2,600,462,322,4,24,2,28,y
87,10076,21062,10,6,3719625.0,57,3.0,54.99,735.65,6,7.0,24.99,71.97,?,1,2,600,592,13,4,48,2,69,y
88,10077,21063,10,6,4130415.0,40,10.0,49.9,1343.2,3,29.9,39.99,109.79,?,1,2,600,80,56,1,40,2,44,n
89,10078,21064,10,6,2076614.0,49,7.0,79.9,733.28,3,19.9,24.99,69.88,1,1,?,1400,474,44,18,25,2,3,n
90,10079,21066,10,6,2578006.0,46,3.0,15.99,316.13,5,6.99,11.99,45.95,4,1,2,1400,572,220,4,38,2,228,n
91,1008,2061,9,5,148082.0,2,79.99,149.99,229.98,2,79.99,149.99,229.98,5,1,2,4000,555,331,8,52,2,16,y
92,10080,33988,21,6,1142958.0,42,7.99,20.0,643.22,10,7.99,20.0,161.94,?,1,2,4000,80,223,1,51,1,13,y
93,10081,21069,10,6,1323992.0,32,6.99,51.96,829.38,6,6.99,39.95,144.83,?,?,?,600,586,10,2,37,2,103,n
94,10082,21073,10,6,3490943.0,94,5.99,34.99,790.47,10,6.0,34.99,138.93,5,1,2,4000,593,220,13,50,1,28,y
95,10083,21074,10,6,34.12,3,24.99,24.99,74.97,1,24.99,24.99,24.99,1,1,2,12000,531,194,123,48,2,4,n
96,10084,21076,10,6,64696.0,4,7.99,29.99,97.96,4,7.99,29.99,97.96,1,1,?,600,70,203,0,38,2,25,n
97,10085,21078,10,6,842316.0,22,3.99,34.99,443.74,5,3.99,34.99,96.95,?,1,2,3000,545,194,10,49,1,103,y
98,10086,21080,10,6,569895.0,9,7.99,20.0,83.97,1,20.0,20.0,20.0,5,1,2,300,457,209,10,61,2,41,y
99,10087,33917,21,6,626589.0,25,3.99,12.99,222.78,4,3.99,12.99,36.96,1,1,2,300,456,219,218,48,2,11,n
100,10088,24716,14,6,232776.0,13,49.99,49.99,199.96,1,49.99,49.99,49.99,5,1,2,0,1,230,0,40,2,6,y
101,10089,21092,10,6,653822.0,12,6.0,30.99,236.91,2,18.99,24.99,43.98,?,?,?,1100,497,26,13,36,2,9,n
102,1009,2062,9,5,1135772.0,12,5.99,24.99,131.91,4,5.99,24.99,49.96,?,1,2,300,517,445,26,80,2,11,y
103,10090,21093,10,6,3617776.0,76,29.99,99.99,4403.02,12,29.99,99.99,848.71,1,1,?,600,70,84,0,28,2,16,n
104,10091,21094,10,6,1483711.0,20,7.99,39.99,257.83,2,7.99,9.99,17.98,?,1,2,300,546,105,2,38,2,11,y
105,10092,21095,10,6,5812208.0,93,12.99,139.99,3557.19,15,12.99,59.99,622.85,5,1,2,2200,542,311,26,53,2,12,y
106,10093,21098,10,6,1451301.0,17,9.99,24.99,299.83,4,9.99,24.99,74.96,?,1,2,300,512,59,0,22,1,663,y
107,10094,21099,10,6,263835.0,6,17.99,37.99,167.94,2,17.99,37.99,55.98,?,1,2,600,571,223,7,44,2,11,y
108,10095,21100,10,6,179713.0,4,9.99,9.99,39.96,2,9.99,9.99,19.98,?,1,2,600,543,49,7,37,1,538,y
109,10096,21102,10,6,251.7,5,199.99,199.99,999.95,3,199.99,199.99,599.97,4,1,2,800,503,41,10,25,1,127,n
110,10097,21103,10,6,347415.0,4,299.99,299.99,1199.96,1,299.99,299.99,299.99,1,1,?,1000,70,30,0,51,2,585,n
111,10098,21105,10,6,1660274.0,23,19.99,54.99,614.86,3,44.99,49.99,144.97,5,1,2,2500,511,268,7,59,2,31,y
112,10099,21108,10,6,179474.0,3,169.99,189.99,549.97,1,189.99,189.99,189.99,?,1,2,500,559,7,2,41,1,60,y
113,101,254,7,5,147906.0,5,79.82,199.99,639.44,2,79.82,199.99,279.81,5,1,2,300,341,3,1,36,2,10,y
114,1010,2065,9,5,4591014.0,51,14.95,44.99,801.58,7,14.95,44.99,144.91,5,1,2,4000,507,41,10,42,2,23,y
115,10100,21110,10,6,759.24,2,85.99,85.99,85.99,1,85.99,85.99,85.99,5,1,2,5000,441,1,7,65,1,19,y
116,10101,21111,10,6,819783.0,32,4.99,24.99,479.76,3,14.99,24.99,59.97,?,1,2,200,484,152,5,36,2,77,y
117,10102,21112,10,6,4869241.0,95,3.99,261.99,905.69,5,3.99,16.99,55.96,?,1,2,600,567,131,5,43,2,112,y
118,10103,21113,10,6,1914131.0,20,59.99,64.99,254.96,1,64.99,64.99,64.99,5,1,2,4000,542,358,15,71,1,13,y
119,10104,21114,10,6,1111871.0,20,1.0,24.99,110.94,2,3.0,24.99,27.99,5,1,2,4300,506,199,15,55,1,8,y
120,10105,32454,20,6,54483.0,3,9.99,9.99,29.97,1,9.99,9.99,9.99,?,?,?,2500,499,216,14,47,2,8,n
121,10106,21119,10,6,0.0,1,12.99,12.99,12.99,1,12.99,12.99,12.99,?,?,?,3600,552,87,6,28,1,26,n
122,10107,21120,10,6,1911174.0,22,3.99,269.99,1627.86,5,3.99,59.99,89.95,5,1,2,3400,532,313,28,55,2,22,y
123,10108,21123,10,6,549946.0,2,649.99,649.99,1299.98,1,649.99,649.99,649.99,5,1,2,2600,541,184,7,41,1,7,y
124,10109,21124,10,6,596012.0,8,9.99,9.99,59.94,1,9.99,9.99,9.99,5,0,2,2200,498,204,12,40,1,6,y
125,1011,2067,9,5,99374.0,2,89.99,89.99,179.98,1,89.99,89.99,89.99,1,1,2,10000,494,21,92,56,2,10,n
126,10110,21127,10,6,645332.0,11,14.99,24.99,139.94,3,24.99,24.99,74.97,5,1,2,8500,548,184,15,53,1,26,y
127,10111,21129,10,6,2311714.0,26,10.0,28.0,432.84,4,10.0,19.99,58.98,?,?,?,4000,80,138,2,35,1,52,n
128,10112,21130,10,6,229088.0,4,24.99,24.99,99.96,1,24.99,24.99,24.99,?,1,2,800,449,22,12,33,2,25,y
129,10113,21131,10,6,2470654.0,24,9.99,49.99,669.26,4,20.0,49.99,125.18,?,1,2,5000,70,339,3,66,2,318,y
130,10114,21133,10,6,183202.0,4,19.99,59.99,149.96,4,19.99,59.99,149.96,?,1,2,300,411,336,10,50,2,158,y
131,10115,21134,10,6,63832.0,4,119.99,119.99,479.96,1,119.99,119.99,119.99,?,?,?,200,520,35,5,25,2,7,n
132,10116,21135,10,6,1648609.0,7,49.95,69.95,409.65,2,49.95,69.95,119.9,5,1,2,8500,529,162,24,45,2,16,y
133,10117,21136,10,6,959109.0,17,24.99,149.99,751.89,2,43.5,49.99,93.49,?,1,2,600,470,134,4,33,2,32,y
134,10118,21137,10,6,35.14,3,16.99,16.99,50.97,1,16.99,16.99,16.99,1,1,2,600,499,146,8,69,1,30,n
135,10119,21140,10,6,148636.0,7,34.99,34.99,244.93,2,34.99,34.99,69.98,5,1,2,2500,585,472,21,67,1,44,y
136,1012,2068,9,5,767059.0,8,13.99,349.99,537.43,7,13.99,34.99,187.44,5,1,2,2900,477,179,10,59,2,19,y
137,10120,21141,10,6,1483601.0,29,4.99,29.99,307.22,3,5.49,17.99,33.47,1,0,2,1200,506,71,20,44,1,63,n
138,10121,21142,10,6,1102.62,25,12.99,119.99,726.71,4,12.99,34.99,85.96,?,1,2,300,417,34,4,40,1,52,n
139,10122,21146,10,6,2178721.0,90,3.0,99.99,2859.12,15,3.0,99.99,450.82,?,?,?,600,597,24,2,23,2,12,n
140,10123,37918,9,7,298861.0,3,9.99,9.99,29.97,1,9.99,9.99,9.99,5,1,2,5000,510,22,286,51,1,4,y
141,10124,21149,10,6,210826.0,4,9.99,34.99,84.96,4,9.99,34.99,84.96,5,1,2,1000,572,121,6,36,2,144,y
142,10125,21150,10,6,75454.0,5,29.99,39.99,179.95,1,39.99,39.99,39.99,?,?,?,4000,506,137,14,38,2,9,n
143,10126,21151,10,6,15672679.0,32,10.0,69.95,634.2,4,10.0,17.99,55.98,?,1,2,4000,541,23,4,46,2,26,y
144,10127,21152,10,6,242362.0,2,599.0,599.0,1198.0,1,599.0,599.0,599.0,?,1,2,600,70,11,1,27,2,342,y
145,10128,21153,10,6,1436039.0,36,7.0,59.95,792.2,4,7.0,31.96,78.9,?,?,?,1500,486,23,12,27,2,68,n
146,10129,21154,10,6,2071903.0,14,9.99,29.99,218.87,3,9.99,17.99,42.97,?,1,2,800,566,24,7,40,1,24,y
147,1013,2070,9,5,5724549.0,79,3.0,29.99,706.5,5,9.99,14.99,59.95,?,1,2,1500,538,305,20,58,2,15,y
148,10130,21156,10,6,467223.0,25,24.99,24.99,624.75,4,24.99,24.99,99.96,3,1,2,1000,530,22,8,45,2,4,n
149,10131,21158,10,6,1858914.0,28,14.99,29.99,559.72,2,14.99,19.99,34.98,?,1,2,600,568,94,13,26,2,24,y
150,10132,21159,10,6,1318777.0,34,7.99,24.99,601.7,6,14.99,19.99,109.94,?,1,2,600,416,11,12,32,2,14,y
151,10133,21162,10,6,1677.06,26,3.99,109.99,850.75,6,3.99,49.99,167.94,5,1,2,3200,451,19,38,32,2,11,y
152,10134,21163,10,6,586054.0,9,14.99,27.95,191.87,9,14.99,27.95,191.87,1,0,5,4000,553,221,8,37,2,30,n
153,10135,21165,10,6,1158267.0,20,39.99,79.99,899.8,5,39.99,49.99,209.95,?,1,2,4000,531,221,8,44,2,70,y
154,10136,21166,10,6,1625421.0,25,4.99,24.99,298.76,2,14.99,14.99,29.98,?,?,?,600,70,77,0,29,2,446,n
155,10137,21169,10,6,209808.0,18,11.9,19.99,228.69,3,11.9,19.99,51.88,?,?,?,600,513,9,4,26,2,17,n
156,10138,21170,10,6,5861516.0,25,5.99,89.99,509.92,1,5.99,5.99,5.99,1,1,2,600,80,194,1,57,1,30,n
157,10139,21174,10,6,742036.0,15,9.99,17.99,148.9,2,9.99,17.99,27.98,?,1,2,400,513,84,2,58,2,312,y
158,1014,2071,9,5,297.1,8,7.99,39.99,177.92,8,7.99,39.99,177.92,5,1,2,4500,613,433,26,66,2,17,y
159,10140,21177,10,6,8008025.0,56,399.95,659.99,22289.03,2,549.99,599.99,1149.98,5,1,2,2600,541,90,6,38,2,17,n
160,10141,21178,11,6,600.47,3,24.99,24.99,74.97,1,24.99,24.99,24.99,2,1,2,4000,484,175,16,48,2,10,n
161,10142,21179,11,6,146.05,2,49.95,49.95,99.9,2,49.95,49.95,99.9,?,1,2,4000,614,268,4,45,1,163,y
162,10143,21181,11,6,1461054.0,30,7.99,12.99,300.71,5,9.99,9.99,49.95,5,1,2,600,474,33,6,59,2,12,y
163,10144,21184,11,6,2153854.0,35,19.99,69.99,1229.37,2,19.99,59.99,79.98,?,?,?,8500,514,199,17,44,1,8,n
164,10145,21185,11,6,2948.6,45,9.99,37.99,692.68,5,14.99,24.99,103.95,?,1,2,600,506,219,11,34,2,31,y
165,10146,21187,11,6,3186081.0,37,12.99,69.99,815.66,5,13.99,24.99,88.95,?,1,2,4000,515,219,10,40,2,276,y
166,10147,21188,11,6,401337.0,4,19.99,19.99,79.96,2,19.99,19.99,39.98,?,1,2,600,577,27,1,30,2,10,y
167,10148,21189,11,6,435.47,8,24.99,24.99,199.92,1,24.99,24.99,24.99,?,1,2,4100,525,223,34,56,2,36,y
168,10149,21191,11,6,211.92,2,59.99,79.99,139.98,1,59.99,59.99,59.99,1,1,2,3500,518,127,13,34,2,7,n
169,1015,20832,10,6,251197.0,11,599.0,1999.99,13998.9,3,799.99,1799.99,3999.97,1,1,?,800,492,3,2,53,1,17,n
170,10150,21192,11,6,703125.0,27,8.99,59.95,932.26,3,9.99,49.95,89.93,5,1,2,400,469,34,10,46,2,74,y
171,10151,21194,11,6,361203.0,9,59.99,199.99,879.93,3,89.99,199.99,409.97,1,1,2,500,468,3,5,46,1,5,n
172,10152,21195,11,6,5176.81,66,7.99,39.95,1921.61,1,7.99,7.99,7.99,?,?,?,300,462,1,2,26,2,35,n
173,10153,21197,11,6,1523396.0,31,9.99,25.2,390.32,6,9.99,25.2,83.15,2,1,2,4000,521,135,21,50,2,9,y
174,10154,21198,11,6,1542207.0,77,2.99,69.99,1217.24,2,10.99,10.99,21.98,?,?,?,600,449,39,17,55,2,8,n
175,10155,39477,10,7,428804.0,18,199.99,389.99,3849.86,1,279.99,279.99,279.99,?,?,?,1100,536,61,6,41,1,67,n
176,10156,21201,11,6,143678.0,3,7.99,29.99,46.97,3,7.99,29.99,46.97,?,1,2,600,70,36,0,28,2,550,y
177,10157,21202,11,6,2590985.0,12,69.95,139.95,1269.4,1,89.95,89.95,89.95,1,1,2,600,430,10,10,30,2,6,n
178,10158,21203,11,6,250243.0,10,9.99,9.99,99.9,2,9.99,9.99,19.98,2,1,2,600,507,104,5,45,2,16,n
179,10159,21205,11,6,513857.0,30,19.99,24.99,399.81,3,19.99,22.99,62.97,?,?,?,600,559,54,1,27,2,150,y
180,1016,2075,9,5,1549374.0,11,1.0,29.99,192.94,2,3.0,29.99,32.99,?,?,?,15500,534,134,125,46,2,10,n
181,10160,21208,11,6,686279.0,25,3.99,24.99,313.78,8,3.99,15.99,89.92,?,1,2,4000,562,243,5,41,2,215,y
182,10161,21209,11,6,1291854.0,24,29.99,54.95,509.79,1,39.99,39.99,39.99,5,1,2,20000,590,374,63,67,2,5,y
183,10162,21212,11,6,6932.0,2,19.99,19.99,39.98,1,19.99,19.99,19.99,?,?,?,4000,523,285,15,54,1,20,n
184,10163,21214,11,6,58314.0,2,79.99,79.99,159.98,1,79.99,79.99,79.99,2,1,2,300,395,13,3,66,2,4,n
185,10164,21216,11,6,1109008.0,7,599.99,1199.0,7343.99,1,1049.0,1049.0,1049.0,?,1,2,3700,541,109,4,44,2,8,y
186,10165,21217,11,6,222256.0,6,44.99,109.99,289.95,1,44.99,44.99,44.99,?,1,2,2900,564,207,10,44,2,12,y
187,10166,21218,11,6,925304.0,9,3.99,59.99,427.91,2,3.99,59.99,63.98,?,1,2,3000,523,61,15,26,1,185,y
188,10167,21220,11,6,1589332.0,34,9.99,119.99,1989.54,7,9.99,89.99,379.84,?,?,?,2000,499,24,16,21,2,4,y
189,10168,21221,11,6,171.54,8,19.95,89.95,209.86,1,24.99,24.99,24.99,2,1,2,600,70,28,0,35,2,640,n
190,10169,21222,11,6,4284679.0,13,9.99,49.99,319.9,1,29.99,29.99,29.99,?,1,2,800,537,89,11,28,1,29,y
191,1017,2076,9,5,6566966.0,109,4.9,99.99,2155.88,10,4.9,29.99,159.72,?,?,?,600,557,38,5,41,1,47,n
192,10170,21223,11,6,1115765.0,26,7.99,79.99,312.84,0,?,?,?,5,1,2,7500,576,146,22,53,2,7,n
193,10171,21224,11,6,887923.0,16,14.99,24.99,249.86,3,14.99,24.99,54.97,1,1,2,800,487,173,5,44,2,54,n
194,10172,21225,11,6,299108.0,6,29.99,29.99,179.94,6,29.99,29.99,179.94,?,1,2,1000,577,152,2,55,2,108,y
195,10173,21226,11,6,4422132.0,122,3.0,19.99,936.59,14,3.0,19.99,132.92,5,1,2,3100,503,221,12,43,1,25,y
196,10174,21230,11,6,400917.0,9,9.99,19.99,157.91,2,17.99,19.99,37.98,?,1,2,4000,522,220,7,43,2,20,y
197,10175,21231,11,6,186694.0,3,19.99,19.99,59.97,3,19.99,19.99,59.97,5,1,2,900,518,358,15,61,2,31,y
198,10176,21234,11,6,993307.0,30,9.99,47.95,655.68,6,9.99,39.99,134.94,?,1,2,3000,493,220,14,77,2,13,y
199,10177,21237,11,6,1550699.0,5,14.99,899.99,949.97,3,15.0,19.99,34.99,?,1,2,1000,558,361,5,55,2,65,y
200,10178,21239,11,6,31293.0,5,10.0,10.0,50.0,1,10.0,10.0,10.0,?,?,?,500,442,2,1,21,2,23,n
201,10179,21243,11,6,1837927.0,43,7.99,49.95,968.53,9,7.99,34.99,207.91,?,1,2,1500,505,17,13,34,1,5,y
