,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,bStep_count,countLog,modes,diffCounts,durCount,order
137,138,6,5,949557.0,3,39.99,39.99,119.97,1,39.99,39.99,39.99,5,1,2,5500,542,143,11,62,1,22,15,18,3,2,316519.0,1
144,145,6,5,2151525.0,25,7.99,799.99,3707.78,6,39.99,799.99,894.97,5,1,2,2300,472,142,16,29,1,23,19,36,1,19,86061.0,0
150,151,6,5,281455.0,6,29.99,29.99,59.98,1,29.99,29.99,29.99,5,1,2,3000,583,175,12,44,2,24,4,6,4,5,46909.166666666664,1
156,157,6,5,815.32,22,12.99,19.99,306.78,3,12.99,12.99,38.97,5,1,2,2600,496,66,15,32,1,34,4,12,1,19,37.06,1
157,158,6,5,128.6,4,3.99,49.99,103.97,2,3.99,49.99,53.98,5,1,2,2900,498,174,15,41,2,11,3,7,1,2,32.15,1
158,159,6,5,111351.0,4,17.99,49.99,117.97,1,49.99,49.99,49.99,3,1,2,500,559,100,9,38,1,13,2,6,1,3,27837.75,0
177,178,6,5,1375439.0,9,54.99,1399.99,7163.91,1,59.99,59.99,59.99,4,1,2,0,404,58,3,45,1,58,2,3,3,8,152826.55555555556,0
213,214,7,5,771426.0,11,39.95,349.99,469.84,2,39.95,349.99,389.94,5,1,2,8500,544,61,51,60,2,10,7,13,1,9,70129.63636363637,1
215,216,7,5,793979.0,36,7.99,79.9,677.0,1,12.99,12.99,12.99,1,1,-1,3000,543,229,35,43,2,37,0,3,1,35,22054.972222222223,0
219,220,7,5,119054.0,2,13.9,13.9,27.8,1,13.9,13.9,13.9,1,1,2,600,521,26,10,31,1,18,0,2,1,1,59527.0,0
220,221,7,5,609809.0,8,40.99,89.99,362.93,1,40.99,40.99,40.99,5,1,2,1000,373,12,0,27,1,55,3,6,1,7,76226.125,1
221,222,7,5,40736.0,1,199.99,199.99,199.99,1,199.99,199.99,199.99,1,1,-1,4000,573,171,7,39,2,20,0,2,1,0,40736.0,0
223,224,7,5,620734.0,12,349.99,469.99,4669.88,3,349.99,399.99,1149.97,1,1,2,1200,523,223,2,38,2,365,0,8,1,9,51727.833333333336,0
225,226,7,5,18404.0,1,14.99,14.99,14.99,1,14.99,14.99,14.99,1,1,-1,600,603,85,15,44,1,26,0,2,1,0,18404.0,0
240,241,7,5,6794409.0,111,9.99,134.95,5529.83,3,9.99,99.95,189.89,1,1,2,4000,553,108,15,48,2,24,6,17,1,108,61210.89189189189,0
243,244,7,5,3342173.0,49,0.0,40.0,239.92,5,3.0,3.0,3.0,1,1,-1,5000,555,317,33,50,2,10,0,13,1,44,68207.61224489796,0
255,256,7,5,498759.0,15,599.0,699.0,9352.0,1,699.0,699.0,699.0,5,1,2,500,399,2,1,27,1,23,3,5,2,14,33250.6,1
260,261,7,5,243266.0,2,29.99,29.99,59.98,1,29.99,29.99,29.99,1,1,2,3500,548,341,5,76,1,124,0,3,1,1,121633.0,0
261,262,7,5,423771.0,7,249.99,299.99,1849.93,1,249.99,249.99,249.99,1,1,1,300,412,1,0,26,2,45,0,2,1,6,60538.71428571428,0
278,279,7,5,1283449.0,48,4.99,85.99,593.93,4,5.99,9.99,29.96,5,1,2,3400,524,337,11,53,2,12,4,12,1,44,26738.520833333332,1
290,291,7,5,2026369.0,6,3.0,3.0,18.0,1,3.0,3.0,3.0,1,1,-1,5000,555,317,33,50,2,10,0,4,1,5,337728.1666666667,0
300,301,7,5,3438421.0,30,7.99,39.99,614.62,3,14.99,34.99,69.97,1,1,2,2300,552,317,2,51,2,207,0,23,2,27,114614.03333333334,0
305,306,7,5,1734117.0,19,9.99,189.95,869.77,4,9.99,149.99,189.96,5,1,2,2500,463,418,9,43,1,11,4,15,1,15,91269.31578947368,1
307,308,7,5,62852.0,2,999.99,999.99,1999.98,1,999.99,999.99,999.99,5,1,2,500,523,2,0,30,1,38,3,5,1,1,31426.0,1
317,318,7,5,30215.0,1,1799.99,1799.99,1799.99,1,1799.99,1799.99,1799.99,1,1,-1,6000,515,242,28,37,1,16,0,2,1,0,30215.0,0
324,325,7,5,2379826.0,79,3.0,44.99,1604.4,3,9.99,39.99,74.97,5,1,2,2500,494,219,6,46,2,37,4,10,2,76,30124.379746835442,1
326,327,7,5,48229.0,2,159.99,159.99,319.98,1,159.99,159.99,159.99,1,1,2,1000,553,13,6,49,2,32,1,3,1,1,24114.5,0
330,331,7,5,654195.0,11,11.99,34.99,255.89,2,11.99,34.99,46.98,5,1,2,2900,550,57,17,52,2,53,3,7,1,9,59472.27272727273,1
332,333,7,5,1434782.0,58,14.99,29.95,1468.91,7,17.99,29.95,181.69,5,1,2,1300,437,98,21,36,2,19,5,21,1,51,24737.620689655174,1
335,336,7,5,248868.0,4,44.99,44.99,179.96,1,44.99,44.99,44.99,1,1,1,600,541,191,7,48,2,19,0,2,1,3,62217.0,0
337,338,7,5,1129472.0,51,44.99,379.99,10389.53,1,229.99,229.99,229.99,1,1,2,500,447,2,6,39,2,11,0,2,1,50,22146.50980392157,0
351,352,7,5,478134.0,21,39.9,169.95,2018.55,1,69.9,69.9,69.9,1,1,2,800,517,36,9,60,2,20,0,2,1,20,22768.285714285714,0
354,355,7,5,1670937.0,19,19.99,99.95,849.75,1,59.99,59.99,59.99,5,1,2,1000,567,30,15,31,1,18,4,9,1,18,87944.05263157895,1
357,358,7,5,1814353.0,46,12.99,59.99,1785.5,1,29.99,29.99,29.99,1,1,-1,300,431,41,3,31,1,11,0,4,1,45,39442.45652173913,0
369,370,7,5,92.59,2,179.99,179.99,359.98,1,179.99,179.99,179.99,1,1,2,4000,518,339,11,45,2,12,0,2,1,1,46.295,0
370,371,7,5,1701745.0,29,2.99,19.99,287.71,2,3.99,8.99,12.98,5,1,2,300,494,25,1,68,2,18,5,14,1,27,58680.862068965514,1
371,372,7,5,1999288.0,24,1.0,59.99,213.95,3,1.0,59.99,63.99,1,1,2,3000,502,194,11,53,2,17,3,24,1,21,83303.66666666667,1
381,382,7,5,2695576.0,36,29.99,1099.0,5233.17,2,29.99,49.99,79.98,5,1,2,3600,532,358,22,57,1,15,4,8,1,34,74877.11111111111,1
390,391,7,5,133214.0,1,59.99,59.99,59.99,1,59.99,59.99,59.99,5,1,2,1200,481,157,11,43,2,19,3,5,2,0,133214.0,1
394,395,7,5,87582.0,2,39.99,39.99,79.98,1,39.99,39.99,39.99,5,1,2,300,403,3,0,30,2,122,3,5,1,1,43791.0,1
400,401,7,5,157047.0,7,12.0,17.99,95.98,2,12.0,17.99,29.99,2,1,2,900,549,14,22,27,2,18,0,9,2,5,22435.285714285714,0
410,411,7,5,247297.0,1,309.99,309.99,309.99,1,309.99,309.99,309.99,1,1,2,500,444,48,10,41,2,167,0,2,1,0,247297.0,0
413,414,7,5,322524.0,4,14.99,14.99,59.96,1,14.99,14.99,14.99,5,1,2,1300,513,208,11,48,2,51,3,5,2,3,80631.0,1
425,426,7,5,6267589.0,11,149.99,349.99,2779.89,1,199.99,199.99,199.99,5,1,2,4000,551,182,13,48,1,106,20,23,3,10,569780.8181818182,1
430,431,7,5,1228803.0,17,6.0,89.95,523.85,1,24.99,24.99,24.99,5,1,2,1600,518,55,20,33,1,36,3,6,1,16,72282.5294117647,1
433,434,7,5,565265.0,2,299.99,299.99,599.98,1,299.99,299.99,299.99,5,1,2,8500,572,296,31,62,2,17,9,17,1,1,282632.5,1
439,440,7,5,389096.0,2,45.0,45.0,90.0,1,45.0,45.0,45.0,2,1,2,600,566,109,6,41,2,470,0,5,2,1,194548.0,0
445,446,7,5,571392.0,7,469.99,699.99,2139.96,1,469.99,469.99,469.99,5,1,2,500,416,1,2,38,2,47,3,5,1,6,81627.42857142857,1
447,448,7,5,803182.0,16,10.99,34.99,233.89,2,19.99,34.99,54.98,5,1,2,2500,552,144,21,43,2,10,5,9,3,14,50198.875,1
469,470,7,5,177318.0,1,59.99,59.99,59.99,1,59.99,59.99,59.99,1,1,2,6500,563,222,96,44,2,10,1,5,2,0,177318.0,0
482,483,7,5,1915083.0,69,1.0,29.99,570.72,8,1.0,29.99,99.95,5,1,2,1500,592,60,33,28,2,10,24,47,4,61,27754.82608695652,1
486,487,7,5,8413984.0,109,5.0,49.99,1987.81,3,14.99,29.99,64.97,5,1,2,8500,503,175,29,50,1,11,6,13,1,106,77192.5137614679,1
516,517,7,5,1417565.0,30,3.99,19.99,276.84,3,3.99,3.99,11.97,5,1,2,8500,577,359,12,58,2,65,4,15,1,27,47252.166666666664,1
518,519,7,5,1271859.0,32,10.99,22.99,322.54,4,19.95,22.99,62.89,5,1,2,5000,495,116,151,41,2,11,4,14,1,28,39745.59375,1
520,521,7,5,184256.0,1,59.99,59.99,59.99,1,59.99,59.99,59.99,5,1,2,8500,487,253,10,40,1,40,3,5,2,0,184256.0,1
533,534,7,5,870565.0,12,8.99,199.99,1613.95,1,149.0,149.0,149.0,5,1,2,2500,439,209,22,41,1,110,3,5,1,11,72547.08333333333,1
534,535,7,5,1878.88,13,3.99,34.99,225.87,1,14.99,14.99,14.99,1,1,2,4000,553,223,4,49,1,14,0,2,1,12,144.52923076923076,0
544,545,7,5,1438961.0,52,1.0,189.99,1115.87,2,3.0,10.0,13.0,1,1,-1,300,475,83,8,29,2,22,0,5,1,50,27672.326923076922,0
545,546,7,5,585055.0,34,0.19,64.99,1845.89,5,3.0,64.99,257.96,5,1,2,1500,545,27,81,29,1,25,8,22,1,29,17207.5,1
547,548,7,5,261793.0,4,17.99,34.99,87.97,1,34.99,34.99,34.99,1,1,-1,1400,509,233,10,53,2,21,0,3,1,3,65448.25,0
549,550,7,5,2964.36,54,9.99,46.0,1252.3,7,17.99,34.99,152.93,5,1,2,3400,494,220,14,44,2,21,3,21,1,47,54.89555555555556,1
551,552,7,5,771859.0,8,139.99,1199.0,5174.97,3,139.99,1199.0,2037.99,5,1,2,300,445,0,0,34,2,29,4,11,1,5,96482.375,1
553,554,7,5,351548.0,9,24.99,39.99,329.91,1,39.99,39.99,39.99,5,1,2,1300,547,80,11,41,2,20,3,8,1,8,39060.88888888889,1
558,559,7,5,169299.0,3,69.99,119.99,279.97,3,69.99,119.99,279.97,1,1,-1,4000,506,277,18,44,2,10,4,12,1,0,56433.0,0
567,568,7,5,424.94,3,399.99,399.99,1199.97,1,399.99,399.99,399.99,1,1,2,4500,588,127,13,45,1,11,0,2,1,2,141.64666666666668,0
577,578,7,5,29898.0,2,34.95,34.95,69.9,1,34.95,34.95,34.95,1,1,1,800,541,267,14,47,2,49,0,2,1,1,14949.0,0
579,580,7,5,2341001.0,33,17.95,550.0,3786.56,2,99.99,299.0,398.99,5,1,2,3000,566,171,15,55,2,24,3,10,2,31,70939.42424242424,1
602,603,7,5,1386482.0,32,299.99,1399.0,12489.97,1,1199.0,1199.0,1199.0,5,1,2,500,429,0,1,28,2,24,3,5,1,31,43327.5625,0
609,610,7,5,3809843.0,104,3.0,99.99,1590.82,4,79.99,89.99,339.96,5,1,2,7700,534,104,15,45,2,189,19,31,4,100,36633.105769230766,1
615,616,7,5,84379.0,2,11.99,15.0,26.99,2,11.99,15.0,26.99,1,1,-1,300,389,1,0,44,2,44,3,8,1,0,42189.5,0
616,617,7,5,594559.0,10,24.99,319.99,864.9,1,69.99,69.99,69.99,5,1,2,2900,492,224,8,52,2,46,3,6,1,9,59455.9,1
624,625,7,5,1284764.0,15,4.99,9.99,97.89,4,4.99,9.99,34.96,2,1,2,1400,519,60,28,32,2,21,0,9,1,11,85650.93333333333,1
626,627,7,5,503018.0,5,3.99,89.99,103.97,2,3.99,9.99,13.98,5,1,2,8500,527,220,32,45,2,18,3,9,1,3,100603.6,1
638,639,7,5,798716.0,25,59.99,119.95,634.67,2,59.99,69.95,129.94,5,1,2,4000,567,173,8,33,2,128,12,18,4,23,31948.64,1
642,643,8,5,384867.0,5,89.99,179.99,779.95,1,179.99,179.99,179.99,5,1,2,900,518,215,7,46,2,123,4,7,3,4,76973.4,1
643,644,8,5,400299.0,13,12.99,99.99,325.9,2,24.99,24.99,49.98,5,1,2,2500,488,130,12,38,2,53,4,7,3,11,30792.23076923077,1
646,647,8,5,272252.0,4,599.0,599.0,2396.0,1,599.0,599.0,599.0,5,1,2,300,430,6,3,20,2,52,3,5,1,3,68063.0,1
652,653,8,5,162595.0,1,49.99,49.99,49.99,1,49.99,49.99,49.99,5,1,2,2500,500,221,17,55,2,46,3,6,1,0,162595.0,1
654,655,8,5,81752.0,1,59.99,59.99,59.99,1,59.99,59.99,59.99,5,1,2,500,438,5,4,60,1,23,3,4,3,0,81752.0,0
661,662,8,5,1222672.0,37,7.99,28.76,379.37,3,10.0,14.99,39.98,5,0,2,4000,597,216,4,45,2,24,5,15,1,34,33045.18918918919,1
668,669,8,5,1358809.0,14,159.99,159.99,1759.89,1,159.99,159.99,159.99,1,1,-1,2000,588,344,5,65,1,33,5,9,4,13,97057.78571428571,0
672,673,8,5,1166529.0,29,7.0,29.99,323.37,2,10.99,29.99,40.98,5,1,2,3600,547,139,57,31,2,120,4,7,3,27,40225.137931034486,1
674,675,8,5,563988.0,27,14.99,29.99,539.78,1,29.99,29.99,29.99,1,1,-1,300,373,1,0,33,2,18,0,8,1,26,20888.444444444445,0
679,680,8,5,1977109.0,79,6.99,29.99,552.67,6,10.0,19.99,83.95,1,1,-1,600,568,10,6,38,1,151,0,16,1,73,25026.696202531646,0
687,688,8,5,875531.0,30,129.99,289.99,2296.93,1,249.0,249.0,249.0,5,1,2,2500,485,219,19,43,2,29,3,6,1,29,29184.366666666665,1
691,692,8,5,2336596.0,13,49.99,54.99,209.96,2,49.99,54.99,104.98,5,1,2,900,470,189,10,42,2,68,10,16,4,11,179738.15384615384,1
693,694,8,5,1572919.0,32,29.99,54.9,1294.13,7,29.99,54.9,294.76,1,1,-1,600,443,15,18,58,2,11,4,26,1,25,49153.71875,0
695,696,8,5,766346.0,1,59.99,59.99,59.99,1,59.99,59.99,59.99,1,1,2,2500,502,108,11,45,2,19,0,2,1,0,766346.0,0
696,697,8,5,9010434.0,10,13.99,229.99,414.91,3,13.99,22.99,56.97,5,1,2,300,442,102,21,32,2,14,6,12,1,7,901043.4,1
697,698,8,5,36176.0,2,14.99,39.99,54.98,2,14.99,39.99,54.98,1,1,-1,2500,557,154,5,57,1,107,0,4,1,0,18088.0,0
709,710,8,5,314846.0,14,9.99,12.99,107.91,3,9.99,12.99,35.97,3,0,2,600,70,33,0,40,2,724,1,10,1,11,22489.0,0
710,711,8,5,1038918.0,21,7.99,8.99,185.79,6,7.99,8.99,52.94,5,1,2,15000,514,14,67,37,2,10,18,31,1,15,49472.28571428572,1
713,714,8,5,211064.0,3,399.99,399.99,799.98,1,399.99,399.99,399.99,5,1,2,3500,562,157,10,44,2,14,3,5,2,2,70354.66666666667,0
720,721,8,5,3864445.0,11,379.99,719.99,6219.89,2,379.99,719.99,1099.98,1,1,2,600,70,8,1,36,2,261,0,4,1,9,351313.1818181818,0
722,723,8,5,1271191.0,30,4.99,20.0,374.81,1,4.99,4.99,4.99,1,1,2,4000,557,110,29,37,2,18,0,2,1,29,42373.03333333333,0
725,726,8,5,1904463.0,29,9.99,199.99,1087.59,6,14.99,199.99,335.9,1,1,2,1500,487,83,13,53,2,19,1,16,1,23,65671.13793103448,0
731,732,8,5,342315.0,6,349.99,459.99,2539.94,1,459.99,459.99,459.99,4,1,2,0,367,5,10,28,2,57,2,7,1,5,57052.5,0
742,743,8,5,2956607.0,47,10.99,89.95,2039.48,8,24.99,59.99,414.92,1,1,2,2200,517,221,23,55,2,19,8,27,1,39,62906.53191489362,0
753,754,8,5,328528.0,1,59.99,59.99,59.99,1,59.99,59.99,59.99,5,1,2,1000,454,25,4,30,2,77,5,8,4,0,328528.0,1
755,756,8,5,2205818.0,11,29.99,229.99,1246.85,2,129.0,169.99,298.99,4,1,2,1100,508,29,7,30,2,194,7,15,1,9,200528.9090909091,0
756,757,8,5,2023865.0,123,6.99,29.99,2047.31,7,7.99,19.99,110.94,1,1,2,500,441,186,24,41,2,38,1,18,1,116,16454.18699186992,0
758,759,8,5,243967.0,12,119.95,199.95,1559.47,1,119.96,119.96,119.96,2,1,2,600,70,8,1,35,2,263,0,4,2,11,20330.583333333332,0
759,760,8,5,1184674.0,44,6.99,899.0,6533.64,1,24.99,24.99,24.99,5,1,2,600,386,39,26,38,2,38,3,7,2,43,26924.409090909092,1
764,765,8,5,163646.0,1,59.99,59.99,59.99,1,59.99,59.99,59.99,5,1,2,6500,540,353,38,67,2,16,3,6,2,0,163646.0,1
793,794,8,5,308.17,17,15.99,29.99,362.83,1,22.99,22.99,22.99,1,0,0,800,487,6,14,41,2,23,5,11,1,16,18.12764705882353,0
794,795,8,5,730066.0,1,49.99,49.99,49.99,1,49.99,49.99,49.99,5,1,2,2700,479,257,8,55,1,343,6,11,3,0,730066.0,1
798,799,8,5,439336.0,15,14.99,15.0,164.92,1,14.99,14.99,14.99,5,1,2,3500,556,268,26,64,2,49,3,7,2,14,29289.066666666666,1
806,807,8,5,10.58,1,24.99,24.99,24.99,1,24.99,24.99,24.99,2,1,2,600,582,10,16,28,2,25,0,3,1,0,10.58,0
810,811,8,5,716798.0,3,599.0,599.0,1797.0,1,599.0,599.0,599.0,1,1,-1,300,577,2,2,53,2,21,7,11,1,2,238932.66666666666,0
813,814,8,5,1208.22,9,9.99,39.99,104.94,1,39.99,39.99,39.99,1,1,2,10500,552,223,61,43,2,14,0,2,1,8,134.24666666666667,0
828,829,8,5,10.41,1,59.99,59.99,59.99,1,59.99,59.99,59.99,2,1,2,5500,534,312,28,49,2,10,0,2,2,0,10.41,0
831,832,8,5,129045.0,3,12.99,39.99,92.97,3,12.99,39.99,92.97,5,1,2,5000,567,224,71,50,2,10,6,10,4,0,43015.0,1
836,837,8,5,67524.0,1,11.99,11.99,11.99,1,11.99,11.99,11.99,1,1,-1,4000,516,48,6,32,2,24,0,2,1,0,67524.0,0
840,841,8,5,57578.0,8,4.99,4.99,39.92,1,4.99,4.99,4.99,1,1,-1,3000,530,181,30,55,2,20,0,3,1,7,7197.25,0
852,853,8,5,1078336.0,34,3.0,10.0,195.0,4,3.0,7.0,16.0,5,0,0,600,500,24,25,38,2,21,6,17,1,30,31715.764705882353,1
863,864,8,5,707133.0,4,499.0,499.99,1997.98,2,499.0,499.99,998.99,5,1,2,300,427,66,35,25,2,42,3,13,1,2,176783.25,1
869,870,8,5,677618.0,6,9.99,179.99,379.96,2,9.99,179.99,189.98,5,1,2,4000,535,151,15,48,2,18,4,7,3,4,112936.33333333333,1
877,878,8,5,125218.0,5,16.99,24.8,66.59,1,24.8,24.8,24.8,3,1,2,3000,530,75,7,57,2,59,1,2,3,4,25043.6,0
881,882,8,5,183.98,5,20.0,20.0,100.0,1,20.0,20.0,20.0,5,1,2,600,480,66,14,36,1,11,3,5,2,4,36.796,1
889,890,8,5,1870493.0,8,14.99,29.99,209.92,2,14.99,29.99,44.98,1,1,-1,4000,613,180,3,65,2,114,2,11,1,6,233811.625,0
905,906,8,5,3823135.0,106,7.99,79.99,3006.76,11,9.99,39.99,249.89,5,1,2,500,552,6,0,34,2,213,5,29,1,95,36067.311320754714,1
910,911,8,5,60716.0,2,24.99,24.99,49.98,1,24.99,24.99,24.99,5,1,2,2400,517,40,96,47,1,21,3,4,3,1,30358.0,1
914,915,8,5,216613.0,2,19.99,19.99,39.98,1,19.99,19.99,19.99,5,1,2,300,408,211,6,44,2,374,3,6,2,1,108306.5,1
916,917,8,5,299221.0,4,29.99,29.99,119.96,1,29.99,29.99,29.99,1,1,-1,3000,546,209,9,44,1,17,1,4,1,3,74805.25,0
939,940,8,5,343011.0,6,229.99,229.99,459.98,1,229.99,229.99,229.99,1,1,2,4000,525,184,13,49,1,48,5,10,1,5,57168.5,0
946,947,8,5,2900.47,111,6.96,29.95,2013.8,2,20.96,20.96,41.92,1,1,-1,300,496,218,0,47,2,233,0,11,2,109,26.13036036036036,0
949,950,8,5,35357.0,1,279.0,279.0,279.0,1,279.0,279.0,279.0,1,1,-1,1000,523,145,8,61,1,11,0,2,1,0,35357.0,0
953,954,8,5,519.28,15,29.99,110.0,799.91,1,49.99,49.99,49.99,5,1,2,300,454,0,0,30,2,40,3,7,2,14,34.61866666666666,1
964,965,8,5,1484786.0,19,89.9,595.0,4510.45,2,89.9,595.0,684.9,1,1,2,500,473,111,1,42,1,12,2,9,1,17,78146.63157894737,0
969,970,8,5,7470553.0,6,62.99,319.99,445.97,1,62.99,62.99,62.99,3,1,2,3900,487,154,11,54,2,15,1,2,3,5,1245092.1666666667,0
976,977,8,5,442.17,1,59.99,59.99,59.99,1,59.99,59.99,59.99,5,1,2,300,401,0,0,20,2,34,3,6,1,0,442.17,1
979,980,8,5,796065.0,15,3.99,16.79,162.25,3,3.99,16.79,30.77,5,1,2,2200,544,285,130,49,2,10,9,17,1,12,53071.0,1
1013,1014,8,5,670789.0,4,3.99,449.99,537.96,1,3.99,3.99,3.99,1,0,1,1500,488,190,125,41,2,17,0,4,1,3,167697.25,0
1024,1025,8,5,235647.0,2,9.99,9.99,19.98,1,9.99,9.99,9.99,5,1,2,7700,489,273,10,46,2,88,4,6,4,1,117823.5,1
1033,1034,8,5,346245.0,4,14.99,14.99,44.97,2,14.99,14.99,29.98,5,1,2,1200,457,62,14,46,1,21,4,11,1,2,86561.25,1
1034,1035,8,5,457932.0,1,49.99,49.99,49.99,1,49.99,49.99,49.99,1,1,2,4000,483,115,15,34,2,37,11,14,4,0,457932.0,0
1047,1048,8,5,4362129.0,91,44.99,109.95,4252.93,9,44.99,109.95,664.68,5,1,2,3200,520,295,14,54,2,43,4,43,1,82,47935.48351648352,1
1049,1050,8,5,693799.0,13,29.99,79.95,681.63,1,65.95,65.95,65.95,1,1,2,900,503,51,12,46,2,14,0,2,1,12,53369.153846153844,0
1053,1054,8,5,446188.0,6,249.99,399.99,1649.94,1,249.99,249.99,249.99,5,1,2,5000,426,44,18,28,2,60,3,6,1,5,74364.66666666667,1
1055,1056,8,5,964294.0,33,4.99,14.99,206.82,4,4.99,12.99,43.96,5,1,2,1600,512,207,27,45,2,14,12,19,3,29,29221.030303030304,1
1057,1058,8,5,851411.0,19,1.0,10.0,106.0,1,1.0,1.0,1.0,4,1,2,600,448,73,14,49,2,84,4,6,4,18,44811.10526315789,0
1059,1060,8,5,1818294.0,15,399.99,899.99,5499.9,3,399.99,699.99,1499.97,5,1,2,600,500,198,21,33,1,14,3,19,1,12,121219.6,1
1065,1066,8,5,1304635.0,6,19.99,49.99,149.96,1,39.99,39.99,39.99,1,1,-1,1500,538,12,16,22,2,34,1,6,1,5,217439.16666666666,0
1068,1069,8,5,13001884.0,115,0.0,199.99,1551.13,11,0.0,16.99,95.91,1,1,2,300,451,0,0,27,1,18,0,29,1,104,113059.86086956522,0
1069,1070,8,5,2267475.0,20,7.0,199.99,332.93,1,9.99,9.99,9.99,1,1,-1,4600,571,463,14,77,2,13,0,5,1,19,113373.75,0
1073,1074,8,5,76598.0,3,29.99,39.99,109.97,1,39.99,39.99,39.99,5,1,2,1600,451,215,20,63,1,231,3,5,1,2,25532.666666666668,1
1076,1077,8,5,4398286.0,6,9.99,99.99,299.94,4,9.99,99.99,229.96,5,1,2,5000,437,91,139,48,1,11,22,30,4,2,733047.6666666666,1
1084,1085,8,5,18579773.0,3,39.99,49.99,139.97,1,49.99,49.99,49.99,5,1,2,300,487,73,15,51,1,14,3,5,1,2,6193257.666666667,1
1092,1093,8,5,608407.0,8,449.99,499.99,3749.92,2,449.99,499.99,949.98,1,1,-1,3000,512,359,30,77,1,16,0,8,1,6,76050.875,0
1093,1094,8,5,5506756.0,36,12.99,199.99,3038.64,5,12.99,199.99,438.95,1,1,2,1300,441,22,15,24,2,19,0,16,1,31,152965.44444444444,0
1095,1096,8,5,7889375.0,170,2.99,104.99,3306.32,2,20.99,24.99,45.98,1,1,-1,600,479,130,21,62,2,18,0,6,1,168,46408.08823529412,0
1096,1097,8,5,1012373.0,7,27.99,229.99,558.93,1,39.99,39.99,39.99,3,1,2,300,512,8,24,27,1,16,1,2,3,6,144624.7142857143,0
1136,1137,8,5,155605.0,4,28.0,28.0,84.0,1,28.0,28.0,28.0,1,1,-1,5000,461,144,25,35,1,13,0,4,1,3,38901.25,0
1157,1158,8,5,4534352.0,95,8.95,399.99,6791.32,8,8.95,299.99,709.79,1,1,2,1000,438,149,22,35,2,51,0,30,1,87,47730.02105263158,0
1160,1161,8,5,119559.0,2,199.99,199.99,399.98,1,199.99,199.99,199.99,5,1,2,12500,529,55,87,35,2,10,7,10,3,1,59779.5,1
1165,1166,8,5,5246383.0,10,79.99,349.99,2069.9,1,349.99,349.99,349.99,5,1,2,200,424,48,5,33,1,15,3,7,1,9,524638.3,1
1167,1168,8,5,555547.0,3,79.99,79.99,159.98,1,79.99,79.99,79.99,5,1,2,300,474,208,11,58,1,130,3,6,1,2,185182.33333333334,1
1181,1182,8,5,701.1,3,17.99,17.99,35.98,1,17.99,17.99,17.99,4,1,2,2500,523,307,18,80,2,42,2,5,4,2,233.70000000000002,1
1192,1193,8,5,1521097.0,4,59.99,59.99,179.97,1,59.99,59.99,59.99,1,1,-1,1200,507,23,10,50,2,23,0,3,1,3,380274.25,0
1196,1197,8,5,937322.0,26,5.0,79.99,1274.75,4,39.99,79.99,219.96,5,1,2,800,505,216,27,41,2,35,6,19,1,22,36050.846153846156,1
1199,1200,8,5,562169.0,1,29.99,29.99,29.99,1,29.99,29.99,29.99,1,0,2,20000,534,301,60,50,1,10,0,5,1,0,562169.0,0
